Genre,Year
['Electronic'],2012
"['Electronic', 'Pop']",2012
,2012
['Electronic'],2012
"['Electronic', 'Pop']",2012
"['Electronic', 'Pop']",2012
"['Electronic', 'Rock', 'Pop']",2012
,2012
['Hip Hop'],2012
['Electronic'],2012
"['Electronic', 'Hip Hop', 'Pop']",2012
"['Funk / Soul', 'Pop']",2012
"['Electronic', 'Hip Hop']",2012
"['Rock', 'Pop']",2012
['Pop'],2012
"['Electronic', 'Hip Hop']",2012
['Pop'],2012
['Pop'],2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
,2012
